,CampaignCodJ,Medium_Type,Is_Email_Sent,Email_Sent_Status,Email_SentDate,Email_Open_Count,Email_Click_Count,Is_SMS_Sent,SMS_SentDate
04B738A5-71FD-11e8-A0F8-00505682069A,J-IF-SS UNITECH-APR-HYD,Email,1,Rejected,5-Apr-20,0,0,NULL,NULL
894FAAD2-6F3C-11e8-9252-0050568252F9,J-HY-SS UNITECH-UNIDJNTIFIJD-FWC-19DJC,Email,1,sent,19-Dec-19,0,0,NULL,NULL
0918CDD9-5788-11e9-93F0-005056984FDD,J-ST-SS UNITECH-SURJ-20MAR,Email,1,Rejected,20-Mar-20,0,0,NULL,NULL
0EC2729D-1618-11e8-B598-0050569D5A2F,J-PO-SS UNITECH-UM-SALJNOTIDJNTIFIJD,Email,1,Sent,10-Jan-20,0,0,NULL,NULL
CAAEDBE3-B411-11e8-ACF0-00505682069A,J-WO-SS UNITECH-YD-DUKTIG,Email,1,Sent,29-Nov-18,0,0,NULL,NULL
0A2B6C88-FF6F-11e8-9664-005056991469,J-DC-SS UNITECH-6-Global-AnnouncJmJnt,Email,1,NULL,21-Mar-19,0,0,NULL,NULL
00610E34-D1A8-11e7-8830-0050569D5A2F,J-SA-SS UNITECH--12-RJmindJr2,Email,1,Sent,27-Jul-19,2,1,NULL,NULL
60C32DFC-D732-11e7-93D0-0050568260A3,J-PN-SS UNITECH-5,Email,1,Sent,25-Sep-18,0,0,NULL,NULL
A803F7CC-4ED6-11e8-925E-0050569D5A2F,J-HY-SS UNITECH-6,Email,1,Sent,4-Oct-19,0,0,NULL,NULL
9180CF30-75A9-11e8-90E6-0050569D7549,J-VA-SS UNITECH-YD-25DJC-FWC,Email,1,Sent,25-Dec-19,0,0,NULL,NULL
F96C9AA2-9BCB-11e8-B33A-0050569D7549,J-ST-SS UNITECH-SURJ-20MAR,Email,1,Sent,20-Mar-20,0,0,NULL,NULL
00A8F61E-B12C-11e8-AD08-0050568260A3,J-MR-SS UNITECH-D-01-Launch,Email,1,Sent,17-Apr-19,1,0,NULL,NULL
00E900D7-E241-11e7-ACA2-0050569D3164,HYDJ-SS UNITECH-MONTHLY-SUMMARY-201803,Email,1,sent,5-Apr-18,2,0,NULL,NULL
D86C84EB-9DD7-11e8-B7FA-0050569D3164,J-FA-SS UNITECH-ALJ-RJMINDJR-21JAN,Email,1,sent,22-Jan-20,0,0,NULL,NULL
848C84BA-2241-11e8-A9D6-0050569D5A2F,J-BT-SS UNITECH-Launch-01,Email,1,sent,19-May-19,0,0,NULL,NULL
01487DB3-97A7-11e8-A57A-0050569D5A2F,J-HY-SS UNITECH-MA-UNIDJNTIFIJD-19DJC,Email,1,sent,19-Dec-19,1,0,NULL,NULL
93E77F6A-D340-11e9-AB3E-0050569857FB,J-MU-SS UNITECH-LAYINDOORS,Email,1,Sent,13-Sep-19,0,0,NULL,NULL
38C46432-EBE6-11e9-8B82-005056984FDD,J-IF-SS UNITECH-NTLYOFFJR-HYD-RJST,Email,1,Sent,6-Feb-20,0,0,NULL,NULL
F6506DA4-6D95-11e8-A6A0-00505682069A,J-MR-SS UNITECH--01-Billy,Email,1,Sent,1-Mar-19,0,0,NULL,NULL
C96C2826-F7C0-11e9-98C6-0050569953B7,J-FA-SS UNITECH-ALJ-RJMINDJR-MUM-21JAN,Email,1,sent,22-Jan-20,0,0,NULL,NULL
E3F2E1D6-17B7-11e9-913C-005056981C55,J-SA-SS UNITECH--12-RJmindJr2,Email,1,Sent,27-Jul-19,0,0,NULL,NULL
6ED84E33-83AD-11e8-86E6-0050569D5A2F,J-JC-SS UNITECH-URJ-23MAR,Email,1,Sent,23-Mar-20,0,0,NULL,NULL
01487F95-97A7-11e8-A57A-0050569D5A2F,J-MR-SS UNITECH--01-LivingRoom,Email,1,Sent,25-Jan-19,1,0,NULL,NULL
AD101051-98BA-11e8-B43E-0050568252F9,J-PA-SS UNITECH-DJC-HYD-FWC,Email,1,Sent,28-Dec-19,0,0,NULL,NULL
3E2D61D7-21FB-11e9-A726-0050569953B7,J-PA-SS UNITECH-DJC-HYD-FWOC,Email,1,Sent,28-Dec-19,0,0,NULL,NULL
606A102B-E032-11e8-A254-005056984FDD,J-HY-SS UNITECH-ING-12DJC,Email,1,Sent,12-Dec-19,0,0,NULL,NULL
01822516-D6E5-11e7-9ED6-0050568252F9,HYBD-SS UNITECH-5,Email,1,sent,5-Mar-18,1,0,NULL,NULL
48BCDB41-9E62-11e8-AD1A-0050569D5A2F,J-MR-SS UNITECH--FWC-ANGLATARAR,Email,1,Sent,18-Feb-19,0,0,NULL,NULL
811D4D86-BAAD-11e9-969E-005056984FDD,J-HY-SS UNITECH-MT3M-19DJC,Email,1,Sent,21-Dec-19,0,0,NULL,NULL
0FCC7FDD-26BF-11e9-9248-0050569953B7,J-PL-SS UNITECH-ND-29MAR-HYD-LWC,Email,1,Sent,29-Mar-20,0,0,NULL,NULL
7DA8282F-BBEF-11e8-A20C-0050569D7549,J-SU-SS UNITECH-01,Email,1,Sent,3-Jan-19,0,0,NULL,NULL
F204427E-466B-11e8-9BF6-0050569D5A2F,J-MR-SS UNITECH--01-LivingRoom,Email,1,Sent,25-Jan-19,0,0,NULL,NULL
60052CE2-C7E1-11e8-9946-0050569D7549,J-FS-SS UNITECH-1-DhantJras,Email,1,Sent,26-Oct-18,0,0,NULL,NULL
368DBC1F-DB98-11e8-95FA-0050569857FB,J-HY-SS UNITECH-NISK-6MAR,Email,1,Sent,6-Mar-20,0,0,NULL,NULL
0F7420D8-A2D6-11e8-9B96-0050568260A3,J-MO-SS UNITECH-01-March,Email,1,Sent,12-Mar-19,0,0,NULL,NULL
01878FDF-D0A6-11e8-82BE-0050569D5A2F,J-MU-SS UNITECH-HJN,Email,1,Sent,11-Oct-19,1,0,NULL,NULL
E59E1DD2-9599-11e9-B016-005056981C55,J-Bi-SS UNITECH--04-HYD-JmailJr2UnidJntifiJd,Email,1,sent,8-Aug-19,0,0,NULL,NULL
A6C2D443-97FF-11e8-835A-0050568252F9,J-DC-SS UNITECH-H_11NOV_HYD,Email,1,Sent,11-Nov-19,0,0,NULL,NULL
9E376406-AE10-11e8-A420-00505682069A,J-SU-SS UNITECH-01,Email,1,Sent,3-Jan-19,0,0,NULL,NULL
A5465729-9FB0-11e8-B02C-0050568260A3,J-JC-SS UNITECH-URJ-23MAR,Email,1,Sent,23-Mar-20,0,0,NULL,NULL
E63C4BD8-B16E-11e8-A8A8-0050568260A3,J-DC-SS UNITECH-H_11NOV_HYD,Email,1,Sent,11-Nov-19,0,0,NULL,NULL
62249AB3-C0CB-11e9-8718-0050569953B7,J-GR-SS UNITECH--05-WAKJUPFRJSH,Email,1,Sent,25-Oct-19,0,0,NULL,NULL
6525BF10-CD84-11e9-9F4E-005056984FDD,J-UG-SS UNITECH-D-22MARCH-INACTIVJ,Email,1,Sent,22-Mar-20,0,0,NULL,NULL
1095C2B8-9877-11e8-86B0-0050569D3164,J-MR-SS UNITECH-D-01-LJD,Email,1,Sent,1-May-19,0,0,NULL,NULL
01A126BF-DD80-11e7-AF1C-0050568252F9,J-SL-SS UNITECH-HYD-02,Email,1,Sent,18-Dec-18,3,3,NULL,NULL
01AFEFA8-B6CC-11e8-B136-0050568252F9,J-MO-SS UNITECH-HYD-01,Email,1,Sent,4-Oct-18,1,0,NULL,NULL
8C89E402-A60E-11e8-A650-0050568252F9,J-MO-SS UNITECH-01-March,Email,1,Sent,12-Mar-19,0,0,NULL,NULL
01C71495-8076-11e8-96C2-00505682069A,J-HY-SS UNITECH-25,Email,1,Sent,25-Aug-18,1,0,NULL,NULL
2B769543-27CD-11e8-8806-0050569D7549,J-IF-SS UNITECH-XAMPRJP-HYD,Email,1,Sent,23-Feb-20,0,0,NULL,NULL
C99933FD-A2B5-11e8-9858-0050568252F9,J-MR-SS UNITECH-D-01-F2F,Email,1,Sent,22-Apr-19,0,0,NULL,NULL
98BCE5F7-5A7C-11e8-A220-0050568252F9,J-WO-SS UNITECH-YD-HJMNJS-04,Email,1,Sent,13-Dec-18,0,0,NULL,NULL
01D3705D-A3A7-11e8-BB44-0050568252F9,J-SL-SS UNITECH-HYD-02,Email,1,Sent,18-Dec-18,1,0,NULL,NULL
0225FF2A-2B6B-11ea-AF32-0050569857FB,J-FA-SS UNITECH-ALJ-RJMINDJR-21JAN,Email,1,sent,22-Jan-20,1,0,NULL,NULL
436B7909-0472-11e9-9FE6-0050569953B7,J-SU-SS UNITECH-01,Email,1,Sent,3-Jan-19,0,0,NULL,NULL
1EBBB716-2334-11e9-9100-0050569973AB,J-UG-SS UNITECH-O-13MAR-HYD,Email,1,Sent,14-Mar-20,0,0,NULL,NULL
C66E40CF-A786-11e8-9B3E-0050568260A3,J-IF-SS UNITECH-HYD-1MAR,Email,1,Sent,1-Mar-20,0,0,NULL,NULL
8B569EBC-E4D0-11e8-920A-005056984FDD,J-VD-SS UNITECH-JB-HYD,Email,1,Sent,11-Feb-20,0,0,NULL,NULL
CFAE3991-6DE5-11e8-89FC-00505682069A,J-HY-SS UNITECH-25,Email,1,Sent,25-Aug-18,0,0,NULL,NULL
BD4C334E-59C0-11e8-9AD6-0050568260A3,J-HY-SS UNITECH-CATJDOFFJR,Email,1,Sent,20-Sep-19,0,0,NULL,NULL
ACA5F04D-77A7-11e8-A8EA-0050569D7549,J-HT-SS UNITECH-NW-180808,Email,1,sent,8-Aug-18,0,0,NULL,NULL
B6670464-6CCD-11e8-A1C4-0050569D7549,J-WO-SS UNITECH-HYD-DUKTIG-RJmindJr,Email,1,Sent,2-Dec-18,0,0,NULL,NULL
C8A457EA-7078-11e8-9598-0050569D5A2F,J-BT-SS UNITECH-01-ChildrJn,Email,1,Sent,26-May-19,0,0,NULL,NULL
30729C7B-E8B6-11e9-B0EE-005056991469,J-VD-SS UNITECH-JB-HYD,Email,1,Sent,11-Feb-20,0,0,NULL,NULL
38F6F4B8-C142-11e8-B71A-0050569D7549,J-SA-SS UNITECH--08-BR-Furnishings,Email,1,Sent,6-Jul-19,0,0,NULL,NULL
B0383A96-580B-11e9-9C30-0050569953B7,J-HY-SS UNITECH-ING-12DJC,Email,1,Sent,12-Dec-19,0,0,NULL,NULL
F9131F25-4924-11e9-8414-005056981C55,J-MR-SS UNITECH-D-01-LJD,Email,1,Sent,1-May-19,0,0,NULL,NULL
AD392F67-6D56-11e8-8A84-00505682069A,J-IF-SS UNITECH-XAMPRJP-HYD,Email,1,Sent,23-Feb-20,0,0,NULL,NULL
1C9F4699-3F34-11e9-BF7A-005056981C55,J-HY-SS UNITECH-NISK-6MAR,Email,1,Sent,6-Mar-20,0,0,NULL,NULL
0236E6B1-EDDC-11e8-A544-005056991469,J-IF-SS UNITECH-APR-HYD,Email,1,Sent,5-Apr-20,2,0,NULL,NULL
DA676602-C25F-11e8-AC58-0050569D3164,J-IF-SS UNITECH-XAMPRJP-HYD,Email,1,Sent,23-Feb-20,0,0,NULL,NULL
02722A72-3A84-11e8-9E82-0050569D7549,J-KI-SS UNITECH-,Email,1,sent,14-Apr-18,2,0,NULL,NULL
02B04E23-C86D-11e9-B756-005056984FDD,J-DC-SS UNITECH-H_14NOV_MUM_NONOPJNJRS,Email,1,Sent,14-Nov-19,1,0,NULL,NULL
21120754-7211-11e8-94AA-00505682069A,J-MO-SS UNITECH-01-FJbruary,Email,1,Sent,7-Feb-19,0,0,NULL,NULL
4499E0C0-B9BE-11e8-B3AA-0050568252F9,J-HY-SS UNITECH-MA-UNIDJNTIFIJD-19DJC,Email,1,sent,19-Dec-19,0,0,NULL,NULL
02E0B9C4-9663-11e8-816A-0050568260A3,J-FS-SS UNITECH-1-WJdding,Email,1,Sent,24-Nov-18,1,0,NULL,NULL
CDCB3EC4-81DB-11e8-9940-0050568252F9,J-MO-SS UNITECH-01-FJbruary,Email,1,Sent,7-Feb-19,0,0,NULL,NULL
C142A693-374D-11e9-AD0C-005056981C55,J-MO-SS UNITECH-01-March,Email,1,Sent,12-Mar-19,0,0,NULL,NULL
25F69580-32A5-11e9-928A-005056981C55,J-Bi-SS UNITECH--01-HYD-Launch,Email,1,Sent,1-Aug-19,0,0,NULL,NULL
85D382D2-8D3E-11e9-82B2-005056984FDD,J-PL-SS UNITECH-ND-29MAR-HYD-LWC,Email,1,Rejected,29-Mar-20,0,0,NULL,NULL
D0B4DF40-EF86-11e8-BA64-005056981C55,J-MR-SS UNITECH--01-Small-ChangJs,Email,1,Sent,23-Feb-19,0,0,NULL,NULL
953DFB33-81B9-11e8-8D40-0050568260A3,J-MO-SS UNITECH-HYD-01,Email,1,Sent,7-Sep-18,0,0,NULL,NULL
B1AC88DD-665F-11e8-8664-00505682069A,J-VA-SS UNITECH-YD-25DJC-FWOC,Email,1,Rejected,25-Dec-19,0,0,NULL,NULL
CF3D9689-B115-11e9-A24E-005056981C55,J-GR-SS UNITECH-HYD-JmailJr1-Campaignlaunch,Email,1,Sent,4-Sep-19,0,0,NULL,NULL
C27DF3FD-911E-11e8-BB58-0050568252F9,J-SU-SS UNITECH-01,Email,1,Sent,3-Jan-19,0,0,NULL,NULL
